folio,ls,edad
045870AP00,04,51.0
045880AP00,02,53.0
046130AP00,02,50.0
046170BP02,03,57.0
046280AP00,01,48.0
046510AP00,02,61.0
046710AP00,01,57.0
046770AP00,01,47.0
046790AP00,02,70.0
046920AP00,01,50.0
046950AP00,01,83.0
047120AP00,02,47.0
047490AP00,02,54.0
047530AP00,02,58.0
047570AP00,02,56.0
047580AP00,01,49.0
047630AP00,01,64.0
047780AP00,02,47.0
047790AP00,01,74.0
047850AP00,01,61.0
048200AP00,01,56.0
048870AP00,01,61.0
048890AP00,02,51.0
049120AP00,01,51.0
049150AP00,02,46.0
049160AP00,01,52.0
049470AP00,02,52.0
049520AP00,01,49.0
049640AP00,02,45.0
049810CP01,01,46.0
049870AP00,01,55.0
050110AP00,02,47.0
050140AP00,02,46.0
050190AP00,01,54.0
050320AP00,02,45.0
050790AP00,01,52.0
050800AP00,01,76.0
050960AP00,02,52.0
051640AP00,01,72.0
051690AP00,02,49.0
051700AP00,01,67.0
051760AP00,01,83.0
051970AP00,01,67.0
052720AP00,01,64.0
052740AP00,02,61.0
053420AP00,01,49.0
053830AP00,01,73.0
053890AP00,01,53.0
053910AP00,01,48.0
054120AP00,01,45.0
054410AP00,02,62.0
054440AP00,02,67.0
054450AP00,02,50.0
054550AP00,01,46.0
054740AP00,01,60.0
054950AP00,02,52.0
055020AP00,01,76.0
055080AP00,03,74.0
055430AP00,01,68.0
055520AP00,02,57.0
055560AP00,03,75.0
055640BP03,04,66.0
055940AP00,02,56.0
056370AP00,02,69.0
056600AP00,02,48.0
056620AP00,01,54.0
056750AP00,02,52.0
056890AP00,02,55.0
056900AP00,02,50.0
056920AP00,01,45.0
057100AP00,02,64.0
057220AP00,02,50.0
057540AP00,01,52.0
057570AP00,01,66.0
057720AP00,02,50.0
057760AP00,01,61.0
057790AP00,01,55.0
058030AP00,02,68.0
058450AP00,01,60.0
058560AP00,02,47.0
058890AP00,02,45.0
059020AP00,02,76.0
059110AP00,02,46.0
059330AP00,02,55.0
059360AP00,01,59.0
059420AP00,02,47.0
060060AP00,01,46.0
060100AP00,01,68.0
060380AP00,01,67.0
060450AP00,01,47.0
060560AP00,02,45.0
061230AP00,01,64.0
061330AP00,01,57.0
061650AP00,02,53.0
061700AP00,01,46.0
061750AP00,01,47.0
062000AP00,01,58.0
062010AP00,01,54.0
062240AP00,01,53.0
062340AP00,01,57.0
062510AP00,01,66.0
062540AP00,01,45.0
062950AP00,01,72.0
062960AP00,01,52.0
063090CP02,03,51.0
063170AP00,01,56.0
063190AP00,01,68.0
063220AP00,01,70.0
063760AP00,02,62.0
063770AP00,02,50.0
064140AP00,01,55.0
064190AP00,02,50.0
064270AP00,01,58.0
064350AP00,03,54.0
065750AP00,01,53.0
066230AP00,02,59.0
066250AP00,02,50.0
066310AP00,01,61.0
066510AP00,02,54.0
066520AP00,02,46.0
066690AP00,01,67.0
066890AP00,01,63.0
067030AP00,02,61.0
067170AP00,02,55.0
067190AP00,01,50.0
067220AP00,02,75.0
067290AP00,02,51.0
067320AP00,01,55.0
067810AP00,01,58.0
068070AP00,01,69.0
068500AP00,02,48.0
068670AP00,01,57.0
068860AP00,01,47.0
069010AP00,02,51.0
069290AP00,02,64.0
069680AP00,01,56.0
070420AP00,02,56.0
070670AP00,02,65.0
070870AP00,02,62.0
071120AP00,02,77.0
071390AP00,02,52.0
072220AP00,01,60.0
074820AP00,01,77.0
075230AP00,01,54.0
075400AP00,01,53.0
075590AP00,02,47.0
075910AP00,02,46.0
076110AP00,02,71.0
076240AP00,01,55.0
076270AP00,02,62.0
076370AP00,02,60.0
076430AP00,01,84.0
076620AP00,02,45.0
076950AP00,02,53.0
077180AP00,01,66.0
078120AP00,02,47.0
078760AP00,02,77.0
080510AP00,01,69.0
081230AP00,01,49.0
081310AP00,01,57.0
081720AP00,01,47.0
081980AP00,02,51.0
082010AP00,02,49.0
082380AP00,01,56.0
082810AP00,02,57.0
083380AP00,02,55.0
083460AP00,02,60.0
083490AP00,02,49.0
084080AP00,02,50.0
084150AP00,02,54.0
084380AP00,01,72.0
084730AP00,01,51.0
084760AP00,02,53.0
084830AP00,02,57.0
085000AP00,02,76.0
085070AP00,01,47.0
085300AP00,02,49.0
085380AP00,03,55.0
085390AP00,02,58.0
085750AP00,02,47.0
085760AP00,02,54.0
085870AP00,01,68.0
086070AP00,02,55.0
086080AP00,02,55.0
086240CP01,02,52.0
086300AP00,02,60.0
086360AP00,02,56.0
086620AP00,01,48.0
086910AP00,02,51.0
087160AP00,02,49.0
087520AP00,01,48.0
087940AP00,01,74.0
088120AP00,02,65.0
088170AP00,02,75.0
088260AP00,01,69.0
088310AP00,01,61.0
088420AP00,01,63.0
088440AP00,01,60.0
088500AP00,01,46.0
088520AP00,02,67.0
088540AP00,02,55.0
088630AP00,02,54.0
088730AP00,02,57.0
088760AP00,02,57.0
089110AP00,01,63.0
089170AP00,03,47.0
089230AP00,02,49.0
089450AP00,02,55.0
089451AP00,04,45.0
089560AP00,01,50.0
089770AP00,01,64.0
089870AP00,01,83.0
090250AP00,02,62.0
090450AP00,02,56.0
090530AP00,02,76.0
090920AP00,01,64.0
090970AP00,02,68.0
091000AP00,01,52.0
091070AP00,01,71.0
091080AP00,01,70.0
091190AP00,01,65.0
091210AP00,01,63.0
091280AP00,02,45.0
091560AP00,02,47.0
091660AP00,01,69.0
091930AP00,01,67.0
092470AP00,02,50.0
092600AP00,02,54.0
092680AP00,01,57.0
093380AP00,01,73.0
093410AP00,01,46.0
093440AP00,02,56.0
093710AP00,01,49.0
093790AP00,01,51.0
093970AP00,01,53.0
094180AP00,02,53.0
094210AP00,01,67.0
095050CP01,02,55.0
095200AP00,02,62.0
095620AP00,02,49.0
095900AP00,01,45.0
096220AP00,02,50.0
096290AP00,01,56.0
096390AP00,01,63.0
096440AP00,01,70.0
096580AP00,02,50.0
096810AP00,01,50.0
097090AP00,02,47.0
097880AP00,01,45.0
098120AP00,01,78.0
098140AP00,02,69.0
098470AP00,01,69.0
098520AP00,03,45.0
098850AP00,02,49.0
098920AP00,02,55.0
098990AP00,02,52.0
099010AP00,02,46.0
099250AP00,01,68.0
099300AP00,02,62.0
099430AP00,01,45.0
099620AP00,01,58.0
099710AP00,01,67.0
